Tweets	Followers	Friends	Happy	Sad
7688	335	162	0.480856	0.519144
2543	734	28	0.480856	0.519144
47	9	13	0.480856	0.519144
126	180	252	0.480856	0.519144
81	97	123	0.970588	0.029412
82	66	36	0.480856	0.519144
3721	145	181	0.480856	0.519144
2482	91	122	0.480856	0.519144
974	524	406	0.480856	0.519144
186	44	64	0.480856	0.519144
1702	164	125	0.480856	0.519144
19	8	5	0.480856	0.519144
108	34	62	0.480856	0.519144
153	87	269	0.480856	0.519144
3652	159	119	0.480856	0.519144
221	36	62	0.480856	0.519144
436	73	108	0.480856	0.519144
485	48	50	0.519134	0.480866
3346	143	33	0.480856	0.519144
3893	446	132	0.480856	0.519144
2	3	0	0.480856	0.519144
179	3739	3838	0.970588	0.029412
218	11	26	0.970588	0.029412
1124	180	167	0.480856	0.519144
255	18	18	0.480856	0.519144
2	0	0	0.480856	0.519144
1292	1579	71	0.480856	0.519144
854	60	64	0.480856	0.519144
5948	398	310	0.480856	0.519144
10738	174	177	0.480856	0.519144
258	40335	31	0.480856	0.519144
36593	1605	871	0.970596	0.029404
498	19	67	0.480856	0.519144
2559	80	79	0.480856	0.519144
1401	39	35	0.480927	0.519073
86	124	153	0.480856	0.519144
91	48	84	0.970588	0.029412
315	53	116	0.480856	0.519144
31	7	15	0.480856	0.519144
496	78	67	0.970588	0.029412
827	53	62	0.480856	0.519144
85	15	40	0.480856	0.519144
6	8	47	0.480856	0.519144
1476	153	369	0.480856	0.519144
12832	2002	2177	0.970588	0.029412
1198	717	760	0.480856	0.519144
2948	230	121	0.970588	0.029412
785	158	167	0.999150	0.000850
355	236	64	0.480856	0.519144
1509	70	33	0.480856	0.519144
12	2	3	0.970588	0.029412
305	17	41	0.480856	0.519144
1159	144	328	0.970596	0.029404
552	69	53	0.480856	0.519144
164	54	42	0.480856	0.519144
24	26	12	0.480856	0.519144
59	32	90	0.480856	0.519144
591	68	64	0.029411	0.970589
175	63	93	0.480856	0.519144
5502	1534	1139	0.970588	0.029412
84	20	60	0.970588	0.029412
202	136	116	0.480856	0.519144
121	57	63	0.999150	0.000850
18	7	17	0.480856	0.519144
91	26	25	0.480856	0.519144
317	20	33	0.480856	0.519144
7408	893	247	0.480856	0.519144
788	70	245	0.480856	0.519144
3577	846	47	0.970588	0.029412
1741	223	192	0.480856	0.519144
26	38	45	0.480856	0.519144
1390	63	33	0.480856	0.519144
2420	262	328	0.970588	0.029412
12	25	30	0.970588	0.029412
1760	52	43	0.480856	0.519144
1588	108	100	0.480856	0.519144
4692	557	979	0.480856	0.519144
33	5	19	0.984848	0.015152
3	4	33	0.480856	0.519144
3173	20	19	0.480856	0.519144
246	100	126	0.480856	0.519144
18518	3287	2872	0.970588	0.029412
388	172	216	0.480856	0.519144
44	134	127	0.480856	0.519144
1424	93	42	0.480856	0.519144
568	1089157	39	0.480856	0.519144
121	41	155	0.970588	0.029412
493	4910	136	0.970588	0.029412
13322	239	113	0.480856	0.519144
186	33	29	0.480856	0.519144
826	60	38	0.970588	0.029412
1054	54	98	0.480856	0.519144
260	13	12	0.480856	0.519144
4340	224	211	0.480856	0.519144
392	29	19	0.480856	0.519144
82	8	6	0.480856	0.519144
537	48	77	0.480856	0.519144
1576	158	149	0.480856	0.519144
132	208	186	0.480856	0.519144
1080	62	75	0.970588	0.029412
3873	305	231	0.480856	0.519144
12	9	8	0.480856	0.519144
356	9	98	0.480856	0.519144
19	174	589	0.480856	0.519144
539	213	227	0.480856	0.519144
2	2	2	0.480927	0.519073
6199	8132	8790	0.480856	0.519144
911	28	15	0.970588	0.029412
204	31	64	0.480856	0.519144
23	9	0	0.480856	0.519144
2636	228	273	0.970588	0.029412
2	3	1	0.970588	0.029412
4148	4053	315	0.480856	0.519144
10	6	2	0.480856	0.519144
489	363	252	0.480856	0.519144
1224	116	172	0.999999	0.000001
11746	321	51	0.480927	0.519073
1499	1944	1880	0.970588	0.029412
288	37	82	0.970588	0.029412
3096	237	458	0.480856	0.519144
329	99	117	0.480856	0.519144
1643	534	515	0.480856	0.519144
17	24	30	0.480856	0.519144
6492	398	133	0.970588	0.029412
496	51	23	0.480856	0.519144
975	81	74	0.480856	0.519144
319	72	237	0.480856	0.519144
462	18	34	0.970588	0.029412
6446	1752	2003	0.480856	0.519144
1073	99	117	0.480856	0.519144
73	7	0	0.970588	0.029412
446	70	81	0.480856	0.519144
959	525	472	0.480856	0.519144
763	63	100	0.480927	0.519073
2982	456	1	0.480856	0.519144
4671	486	377	0.970588	0.029412
408	92	80	0.480856	0.519144
17087	684	461	0.480856	0.519144
77	91	54	0.984848	0.015152
3879	945	80	0.480856	0.519144
1372	27	24	0.999150	0.000850
660	45	22	0.480856	0.519144
373	224	97	0.480856	0.519144
7	4	9	0.480856	0.519144
7975	506	600	0.480856	0.519144
828	117	78	0.480856	0.519144
1248	89	148	0.480856	0.519144
2182	45	20	0.480856	0.519144
131	5	2	0.480927	0.519073
8838	1329	8	0.480856	0.519144
